"daylength","temp_range","growth","species"
"short","average",132.948450611396,"A"
"average","average",131.254201964289,"A"
"long","average",125.815313497621,"A"
"short","above",123.122901759479,"A"
"average","above",106.333609934822,"A"
"long","above",100.300518258464,"A"
"short","below",106.509591572352,"A"
"average","below",104.65164543343,"A"
"long","below",100.82957008088,"A"
"short","average",140.240340649575,"A"
"average","average",135.633317049476,"A"
"long",NA,132.259793749713,"A"
"short","above",106.821251036423,"A"
"average","above",105.270566544637,"A"
"long","above",109.932181314012,"A"
"short",NA,108.895036823503,"A"
"average","below",111.735714913846,"A"
"long","below",109.396040800094,"A"
"short","average",131.064888556107,"A"
"average","average",135.084916775232,"A"
"long","average",124.001387764756,"A"
"short","above",104.953201839439,"A"
"average",NA,102.929896744271,"A"
"long","above",113.497087674836,"A"
"short","below",108.560599022327,"A"
"average","below",108.556404202201,"A"
"long","below",104.990719163242,"A"
"short","average",134.343601513979,"A"
"average","average",132.956049960342,"A"
"long","average",133.544030479048,"A"
"short","above",110.22697926977,"A"
"average","above",110.321820572878,"A"
"long","above",108.501968751579,"A"
"short","below",109.355070422453,"A"
"average","below",104.688445286054,"A"
"long","below",104.720504420266,"A"
"short","average",135.10248131241,"A"
"average","average",133.159206821113,"A"
"long","average",131.970924164532,"A"
"short","above",115.362843947764,"A"
"average","above",102.295866239908,"A"
"long","above",106.418418532309,"A"
"short","below",114.167828580892,"A"
"average","below",114.637136577088,"A"
"long","below",103.861675832485,"A"
"short","average",136.572289969125,"A"
"average","average",138.199068358057,"A"
"long","average",135.529327116494,"A"
"short","above",111.707205913276,"A"
"average","above",117.290109525787,"A"
"long","above",102.948450611396,"A"
"short","below",106.254201964289,"A"
"average","below",105.815313497621,"A"
"long","below",118.122901759479,"A"
"short","average",131.333609934822,"A"
"average","average",130.300518258464,"A"
"long","average",126.509591572352,"A"
"short","above",104.65164543343,"A"
"average","above",105.82957008088,"A"
"long","above",110.240340649575,"A"
"short","below",110.633317049476,"A"
"average","below",112.259793749713,"A"
"long","below",101.821251036423,"A"
"short","average",130.270566544637,"A"
"average","average",139.932181314012,"A"
"long","average",128.895036823503,"A"
"short","above",111.735714913846,"A"
"average","above",114.396040800094,"A"
"long","above",101.064888556107,"A"
"short","below",110.084916775232,"A"
"average","below",104.001387764756,"A"
"long","below",99.953201839439,"A"
"short","average",127.929896744271,"A"
"average","average",143.497087674836,"A"
"long","average",128.560599022327,"A"
"short","above",108.556404202201,"A"
"average","above",109.990719163242,"A"
"long","above",104.343601513979,"A"
"short","below",107.956049960342,"A"
"average","below",113.544030479048,"A"
"long","below",105.22697926977,"A"
"short","average",135.321820572878,"A"
"average","average",138.501968751579,"A"
"long","average",129.355070422453,"A"
"short","above",104.688445286054,"A"
"average","above",109.720504420266,"A"
"long",NA,105.10248131241,"A"
"short","below",108.159206821113,"A"
"average","below",111.970924164532,"A"
"long","below",110.362843947764,"A"
"short","average",94.262508619793,"B"
"average","average",73.4134243274462,"B"
"long","average",75.875029076777,"B"
"short","above",93.9321962730949,"B"
"average","above",66.9955029022984,"B"
"long",NA,91.0174848342703,"B"
"short","below",105.736715856012,"B"
"average","below",73.7355555935926,"B"
"long","below",77.877621869946,"B"
"short","average",98.2150655809285,"B"
"average","average",82.3456757529708,"B"
"long","average",70.9569518749179,"B"
"short","above",92.494105465146,"B"
"average","above",68.4083715411499,"B"
"long","above",69.0193873401627,"B"
"short","below",94.4146313607677,"B"
"average","below",83.8299940594065,"B"
"long","below",78.4208947560833,"B"
"short","average",98.9478875779702,"B"
"average","average",73.2098371125269,"B"
"long","average",84.9588820062725,"B"
"short","above",95.5964895960681,"B"
"average","above",70.7657538432754,"B"
"long","above",75.637568681736,"B"
"short","below",105.678868475449,"B"
"average","below",82.934884535304,"B"
"long","below",79.8813600071103,"B"
"short","average",99.3982194008498,"B"
"average","average",84.1655377668459,"B"
"long","average",76.0682775472298,"B"
"short","above",101.538721735682,"B"
"average","above",69.2404155686027,"B"
"long","above",83.7057042538335,"B"
"short","below",95.0733385166547,"B"
"average","below",94.6649812449397,"B"
"long","below",71.1517979714514,"B"
"short","average",100.000658076007,"B"
"average","average",76.5996663737263,"B"
"long","average",74.1884979113668,"B"
"short","above",105.104366161258,"B"
"average","above",80.2743730721693,"B"
"long","above",73.7264236736038,"B"
"short","below",114.477205729617,"B"
"average","below",67.7250012660655,"B"
"long","below",73.5048182301717,"B"
"short","average",96.6360332444808,"B"
"average","average",76.8670709386511,"B"
"long","average",65.6285782278873,"B"
"short","above",90.5564884265188,"B"
"average","above",82.8946713826765,"B"
"long","above",69.262508619793,"B"
"short","below",103.413424327446,"B"
"average","below",80.875029076777,"B"
"long","below",73.9321962730949,"B"
"short","average",91.9955029022984,"B"
"average","average",91.0174848342703,"B"
"long","average",75.7367158560119,"B"
"short","above",93.7355555935926,"B"
"average","above",72.877621869946,"B"
"long","above",73.2150655809285,"B"
"short","below",112.345675752971,"B"
"average","below",75.9569518749179,"B"
"long","below",72.494105465146,"B"
"short","average",93.4083715411499,"B"
"average","average",69.0193873401627,"B"
"long","average",64.4146313607677,"B"
"short","above",103.829994059406,"B"
"average","above",73.4208947560833,"B"
"long","above",73.9478875779702,"B"
"short","below",103.209837112527,"B"
"average","below",89.9588820062725,"B"
"long","below",75.5964895960681,"B"
"short","average",95.7657538432754,"B"
"average","average",75.637568681736,"B"
"long","average",75.6788684754491,"B"
"short","above",102.934884535304,"B"
"average","above",74.8813600071103,"B"
"long","above",74.3982194008498,"B"
"short","below",114.165537766846,"B"
"average","below",81.0682775472298,"B"
"long","below",81.5387217356818,"B"
"short","average",94.2404155686027,"B"
"average","average",83.7057042538335,"B"
"long","average",65.0733385166547,"B"
"short","above",114.66498124494,"B"
"average","above",66.1517979714514,"B"
"long","above",75.0006580760075,"B"
"short","below",106.599666373726,"B"
"average","below",79.1884979113668,"B"
"long","below",85.1043661612577,"B"
"short","average",102.948450611396,"C"
"average","average",101.254201964289,"C"
"long","average",100.815313497621,"C"
"short","above",123.122901759479,"C"
"average","above",106.333609934822,"C"
"long","above",105.300518258464,"C"
"short","below",106.509591572352,"C"
"average","below",104.65164543343,"C"
"long","below",105.82957008088,"C"
"short","average",110.240340649575,"C"
"average","average",105.633317049476,"C"
"long","average",107.259793749713,"C"
"short","above",106.821251036423,"C"
"average","above",105.270566544637,"C"
"long","above",114.932181314012,"C"
"short","below",108.895036823503,"C"
"average","below",111.735714913846,"C"
"long","below",114.396040800094,"C"
"short","average",101.064888556107,"C"
"average","average",105.084916775232,"C"
"long","average",99.0013877647564,"C"
"short","above",104.953201839439,"C"
"average","above",102.929896744271,"C"
"long","above",118.497087674836,"C"
"short","below",108.560599022327,"C"
"average","below",108.556404202201,"C"
"long",NA,109.990719163242,"C"
"short","average",104.343601513979,"C"
"average","average",102.956049960342,"C"
"long","average",108.544030479048,"C"
"short","above",110.22697926977,"C"
"average","above",110.321820572878,"C"
"long","above",113.501968751579,"C"
"short","below",109.355070422453,"C"
"average","below",104.688445286054,"C"
"long","below",109.720504420266,"C"
"short","average",105.10248131241,"C"
"average","average",103.159206821113,"C"
"long",NA,106.970924164532,"C"
"short","above",115.362843947764,"C"
"average","above",102.295866239908,"C"
"long","above",111.418418532309,"C"
"short","below",114.167828580892,"C"
"average","below",114.637136577088,"C"
"long","below",108.861675832485,"C"
"short","average",106.572289969125,"C"
"average","average",108.199068358057,"C"
"long","average",110.529327116494,"C"
"short","above",111.707205913276,"C"
"average","above",117.290109525787,"C"
"long","above",107.948450611396,"C"
"short","below",106.254201964289,"C"
"average","below",105.815313497621,"C"
"long","below",123.122901759479,"C"
"short","average",101.333609934822,"C"
"average","average",100.300518258464,"C"
"long","average",101.509591572352,"C"
"short","above",104.65164543343,"C"
"average","above",105.82957008088,"C"
"long","above",115.240340649575,"C"
"short","below",110.633317049476,"C"
"average","below",112.259793749713,"C"
"long","below",106.821251036423,"C"
"short","average",100.270566544637,"C"
"average","average",109.932181314012,"C"
"long","average",103.895036823503,"C"
"short","above",111.735714913846,"C"
"average","above",114.396040800094,"C"
"long","above",106.064888556107,"C"
"short","below",110.084916775232,"C"
"average","below",104.001387764756,"C"
"long","below",104.953201839439,"C"
"short","average",97.929896744271,"C"
"average","average",113.497087674836,"C"
"long","average",103.560599022327,"C"
"short","above",108.556404202201,"C"
"average","above",109.990719163242,"C"
"long","above",109.343601513979,"C"
"short","below",107.956049960342,"C"
"average","below",113.544030479048,"C"
"long","below",110.22697926977,"C"
"short","average",105.321820572878,"C"
"average","average",108.501968751579,"C"
"long","average",104.355070422453,"C"
"short","above",104.688445286054,"C"
"average","above",109.720504420266,"C"
"long","above",110.10248131241,"C"
"short","below",108.159206821113,"C"
"average","below",111.970924164532,"C"
"long","below",115.362843947764,"C"
